ENSG00000000419	1	,0.0008,	2	,0.0015,0.0166,	1	1
ENSG00000000457	11	,0.1256,0.0008,0.7148,0.0008,0.0015,0.0045,0.0023,0.0008,0.0038,0.0008,0.0015,	13	,0.1316,0.0061,0.0023,0.0068,0.0076,0.0008,0.003,0.0076,0.0174,0.0567,0.0038,0.0272,0.0015,	6	1
ENSG00000000460	12	,0.003,0.0008,0.7209,0.0008,0.0038,0.0015,0.0658,0.0076,0.0008,0.0068,0.0008,0.0023,	5	,0.003,0.087,0.0106,0.0008,0.0008,	5	8
ENSG00000000938	4	,0.0023,0.0008,0.0015,0.0008,	4	,0.0023,0.0083,0.0015,0.0083,	0	3
ENSG00000000971	13	,0.0008,0.0008,0.2088,0.0015,0.3623,0.0008,0.0008,0.0023,0.2254,0.0378,0.6876,0.0098,0.0015,	7	,0.0688,0.5688,0.0023,0.0673,0.0015,0.9985,0.0272,	8	10
ENSG00000001036	9	,0.0091,0.0076,0.1233,0.3396,0.0008,0.0008,0.0144,0.0015,0.0008,	5	,0.5204,0.0242,0.0076,0.0053,0.9939,	0	3
ENSG00000001084	3	,0.0008,0.0015,0.0356,	6	,0.0204,0.0015,0.0008,0.0348,0.0015,0.0023,	1	1
ENSG00000001167	3	,0.0008,0.0008,0.0045,	3	,0.0408,0.0015,0.0008,	2	1
ENSG00000001460	11	,0.003,0.0038,0.0023,0.9985,0.0091,0.0008,0.0008,0.3086,0.0121,0.2277,0.1906,	8	,0.0008,0.0023,0.5227,0.0756,0.5106,0.0053,0.0008,0.0961,	0	3
ENSG00000001461	7	,0.0015,0.0008,0.0038,0.0923,0.1589,0.0008,0.0008,	1	,0.0023,	3	4
ENSG00000001561	7	,0.003,0.0061,0.2186,0.0015,0.0234,0.0008,0.0015,	4	,0.0008,0.0061,0.1339,0.0008,	0	0
ENSG00000001617	9	,0.1566,0.0023,0.0008,0.0008,0.0015,0.0008,0.0008,0.4138,0.0008,	10	,0.0008,0.0015,0.6823,0.0008,0.0008,0.0121,0.0008,0.0008,0.0015,0.0008,	2	2
