FBgn0000008	45.0	,0.00625,0.0125,0.43125,0.00625,0.46875,0.06875,0.0625,0.04375,0.20625,0.025,0.0125,0.0875,0.00625,0.0375,0.025,0.0125,0.0125,0.14375,0.01875,0.00625,0.00625,0.00625,0.13125,0.63125,0.05,0.1375,0.0125,0.00625,0.00625,0.025,0.00625,0.00625,0.00625,0.0875,0.00625,0.00625,0.04375,0.01875,0.10625,0.09375,0.00625,0.0875,0.075,0.00625,0.01875,	42.0	,0.03125,0.00625,0.6625,0.01875,0.125,0.00625,0.01875,0.01875,0.10625,0.0875,0.05625,0.04375,0.00625,0.09375,0.025,0.41875,0.33125,0.825,0.05,0.01875,0.1625,0.16875,0.10625,0.04375,0.1,0.09375,0.00625,0.54375,0.00625,0.00625,0.01875,0.03125,0.35625,0.15625,0.05,0.00625,0.00625,0.01875,0.01875,0.56875,0.01875,0.01875,	27.0	31.0	2R	2.169283674
FBgn0000014	2.0	,0.0125,0.025,	4.0	,0.18125,0.15,0.00625,0.90625,	1.0	20.0	3R	0.7616989759999999
FBgn0000015	4.0	,0.3,0.025,0.00625,0.01875,	13.0	,0.1375,0.0125,0.1625,0.1375,0.65625,0.01875,0.01875,0.01875,0.3,0.10625,0.53125,0.74375,0.0125,	0.0	3.0	3R	0.43525655799999996
FBgn0000017	12.0	,0.01875,0.00625,0.025,0.00625,0.025,0.025,0.00625,0.04375,0.00625,0.01875,0.00625,0.00625,	21.0	,0.00625,0.0625,0.025,0.0375,0.01875,0.15625,0.99375,0.01875,0.00625,0.0375,0.9875,0.1,0.01875,0.0125,0.00625,0.725,0.01875,0.70625,0.01875,0.00625,0.025,	141.0	93.0	3L	0.8999361090000001
FBgn0000018	11.0	,0.5,0.0125,0.68125,0.61875,0.00625,0.40625,0.28125,0.04375,0.0375,0.01875,0.60625,	13.0	,0.41875,0.0125,0.0625,0.0625,0.00625,0.00625,0.4625,0.33125,0.31875,0.09375,0.03125,0.0125,0.1125,	20.0	18.0	2L	2.931876732
FBgn0000024	10.0	,0.725,0.025,0.6875,0.41875,0.1125,0.3,0.31875,0.00625,0.00625,0.00625,	14.0	,0.0125,0.00625,0.99375,0.01875,0.00625,0.00625,0.03125,0.9125,0.7125,0.9625,0.05625,0.00625,0.00625,0.2125,	2.0	23.0	3R	0.870513115
FBgn0000028	2.0	,0.04375,0.075,	5.0	,0.0625,0.00625,0.3125,0.075,0.1125,	0.0	4.0	X	2.170023276
FBgn0000032	5.0	,0.1375,0.00625,0.1,0.0875,0.09375,	11.0	,0.0125,0.08125,0.13125,0.0125,0.11875,0.0125,0.0125,0.09375,0.05625,0.025,0.16875,	12.0	17.0	3R	2.0674686490000003
FBgn0000036	2.0	,0.00625,0.01875,	14.0	,0.01875,0.00625,0.025,0.00625,0.025,0.0875,0.125,0.01875,0.23125,0.05625,0.00625,0.025,0.01875,0.425,	1.0	11.0	3R	2.720353485
FBgn0000037	12.0	,0.0125,0.00625,0.0125,0.00625,0.00625,0.00625,0.0125,0.2375,0.0125,0.05,0.05625,0.00625,	15.0	,0.00625,0.78125,0.43125,0.05,0.025,0.01875,0.00625,0.0125,0.0125,0.31875,0.00625,0.30625,0.14375,0.175,0.00625,	7.0	24.0	2R	1.301570205
FBgn0000038	0.0	,	26.0	,0.03125,0.40625,0.18125,0.075,0.0375,0.0375,0.00625,0.0875,0.10625,0.5375,0.16875,0.0875,0.3,0.00625,0.88125,0.10625,0.8625,0.14375,0.03125,0.00625,0.18125,0.0125,0.00625,0.05625,0.11875,0.00625,	5.0	4.0	3L	2.215227346
FBgn0000039	1.0	,0.04375,	21.0	,0.9375,0.55,0.75,0.00625,0.58125,0.00625,0.0125,0.15,0.13125,0.10625,0.94375,0.225,0.225,0.975,0.025,0.00625,0.00625,0.04375,0.99375,0.6625,0.2875,	0.0	12.0	3R	5.875963528
FBgn0000043	0.0	,	0.0	,	0.0	17.0	2R	0.32539255100000003
FBgn0000044	0.0	,	11.0	,0.03125,0.00625,0.00625,0.00625,0.00625,0.00625,0.35625,0.00625,0.6125,0.03125,0.00625,	0.0	6.0	2R	7.158636125
FBgn0000045	0.0	,	3.0	,0.10625,0.98125,0.0125,	0.0	19.0	3L	0.138451709
FBgn0000046	0.0	,	11.0	,0.78125,0.00625,0.0125,0.00625,0.04375,0.00625,0.1375,0.00625,0.00625,0.175,0.275,	0.0	5.0	3R	0.7616989759999999
FBgn0000047	0.0	,	5.0	,0.00625,0.0375,0.86875,0.8875,0.7125,	0.0	9.0	3R	5.440706971
FBgn0000052	53.0	,0.00625,0.025,0.06875,0.06875,0.25,0.98125,0.125,0.0125,0.01875,0.05625,0.075,0.9875,0.1,0.0125,0.0125,0.00625,0.01875,0.025,0.825,0.1125,0.00625,0.98125,0.025,0.025,0.01875,0.13125,0.175,0.025,0.05,0.00625,0.025,0.00625,0.55625,0.00625,0.0125,0.06875,0.31875,0.00625,0.00625,0.79375,0.9125,0.0125,0.00625,0.0125,0.025,0.9875,0.9875,0.06875,0.06875,0.025,0.00625,0.00625,0.00625,	60.0	,0.00625,0.00625,0.075,0.075,0.75625,0.275,0.01875,0.01875,0.26875,0.00625,0.9,0.00625,0.2875,0.01875,0.00625,0.0375,0.05625,0.04375,0.0375,0.1,0.01875,0.06875,0.81875,0.09375,0.675,0.06875,0.9375,0.075,0.1375,0.03125,0.11875,0.18125,0.01875,0.01875,0.0375,0.00625,0.00625,0.675,0.24375,0.5375,0.01875,0.6375,0.29375,0.8375,0.00625,0.84375,0.98125,0.91875,0.01875,0.00625,0.9375,0.04375,0.9375,0.03125,0.06875,0.025,0.00625,0.9625,0.00625,0.00625,	20.0	65.0	2L	2.345501386
